Date,Product Type,Status,Total Order,Total GMV
02/01/2016,bpjs,created,913,"5,492"
04/01/2016,bpjs,created,915,"4,510"
05/01/2016,bpjs,created,639,"6,896"
06/01/2016,bpjs,created,234,"6,153"
08/01/2016,bpjs,created,533,"8,292"
09/01/2016,bpjs,created,713,"6,542"
12/01/2016,bpjs,created,336,"3,569"
13/01/2016,bpjs,created,344,"6,198"
14/01/2016,bpjs,created,160,"1,822"
15/01/2016,bpjs,created,422,"5,332"
25/01/2016,bpjs,created,196,"5,529"
29/01/2016,bpjs,created,723,"4,120"
31/01/2016,bpjs,created,772,"4,868"
01/02/2016,bpjs,created,302,"7,388"
02/02/2016,bpjs,created,458,"8,380"
03/02/2016,bpjs,created,439,"5,501"
05/02/2016,bpjs,created,237,"1,394"
12/02/2016,bpjs,created,804,"7,779"
13/02/2016,bpjs,created,518,"4,794"
15/02/2016,bpjs,created,533,"7,932"
11/03/2016,bpjs,created,327,"6,703"
14/03/2016,bpjs,created,284,"2,397"
16/03/2016,bpjs,created,866,"5,784"
17/03/2016,bpjs,created,241,"8,610"
18/03/2016,bpjs,created,678,"1,005"
19/03/2016,bpjs,created,415,"2,360"
21/03/2016,bpjs,created,314,"3,020"
24/03/2016,bpjs,created,882,"8,463"
30/03/2016,bpjs,created,573,"5,425"
27/01/2016,data,created,498,"1,009"
28/01/2016,data,created,512,"5,064"
29/01/2016,data,created,745,"2,447"
31/01/2016,data,created,740,"4,387"
01/02/2016,data,created,206,307
02/02/2016,data,created,532,"4,818"
03/02/2016,data,created,812,"1,071"
17/02/2016,data,created,89,396
20/02/2016,data,created,663,"4,882"
21/02/2016,data,created,112,440
27/02/2016,data,created,951,"2,907"
28/02/2016,data,created,728,"4,903"
29/02/2016,data,created,352,417
04/03/2016,data,created,984,"4,687"
05/03/2016,data,created,443,755
07/03/2016,data,created,465,"2,337"
10/03/2016,data,created,247,540
12/03/2016,data,created,212,"1,421"
19/03/2016,data,created,91,417
25/03/2016,data,created,976,"2,645"
27/03/2016,data,created,941,"4,729"
28/03/2016,data,created,334,"2,310"
29/03/2016,data,created,94,224
30/03/2016,data,created,778,"3,835"
01/04/2016,data,created,341,459
26/01/2016,e-money,created,142,"4,013"
28/01/2016,e-money,created,352,"3,627"
29/01/2016,e-money,created,424,"3,988"
30/01/2016,e-money,created,779,"7,029"
31/01/2016,e-money,created,544,"8,365"
01/02/2016,e-money,created,893,"5,783"
02/02/2016,e-money,created,361,"4,941"
03/02/2016,e-money,created,721,"2,763"
04/02/2016,e-money,created,900,658
05/02/2016,e-money,created,158,"7,373"
06/02/2016,e-money,created,684,"7,714"
07/02/2016,e-money,created,553,"2,977"
08/02/2016,e-money,created,493,"8,064"
09/02/2016,e-money,created,759,644
10/02/2016,e-money,created,166,"5,939"
11/02/2016,e-money,created,363,"1,945"
12/02/2016,e-money,created,513,"5,808"
13/02/2016,e-money,created,588,"4,388"
14/02/2016,e-money,created,498,"5,509"
15/02/2016,e-money,created,260,"3,999"
16/02/2016,e-money,created,639,"5,593"
17/02/2016,e-money,created,124,"1,504"
18/02/2016,e-money,created,660,"5,946"
19/02/2016,e-money,created,607,"5,996"
20/02/2016,e-money,created,142,"8,490"
21/02/2016,e-money,created,689,"2,248"
22/02/2016,e-money,created,764,738
23/02/2016,e-money,created,360,"1,780"
24/02/2016,e-money,created,211,"3,299"
25/02/2016,e-money,created,660,"1,271"
27/02/2016,e-money,created,868,"6,294"
28/02/2016,e-money,created,285,"3,668"
29/02/2016,e-money,created,709,"3,650"
01/03/2016,e-money,created,99,"3,599"
02/03/2016,e-money,created,879,"2,866"
03/03/2016,e-money,created,723,"1,170"
04/03/2016,e-money,created,949,"4,691"
05/03/2016,e-money,created,787,340
06/03/2016,e-money,created,637,"4,250"
07/03/2016,e-money,created,957,"4,932"
08/03/2016,e-money,created,471,"2,670"
09/03/2016,e-money,created,899,"7,816"
10/03/2016,e-money,created,585,"7,717"
11/03/2016,e-money,created,826,"5,005"
12/03/2016,e-money,created,264,"8,994"
13/03/2016,e-money,created,284,"5,024"
14/03/2016,e-money,created,135,"9,651"
15/03/2016,e-money,created,945,"5,793"
16/03/2016,e-money,created,540,"3,705"
18/03/2016,e-money,created,814,"2,706"
19/03/2016,e-money,created,524,"7,404"
20/03/2016,e-money,created,350,"6,764"
22/03/2016,e-money,created,304,"1,762"
23/03/2016,e-money,created,703,"4,343"
24/03/2016,e-money,created,965,"2,877"
25/03/2016,e-money,created,457,"7,011"
26/03/2016,e-money,created,631,"9,908"
27/03/2016,e-money,created,581,"3,413"
29/03/2016,e-money,created,453,"8,746"
30/03/2016,e-money,created,396,"3,912"
01/04/2016,e-money,created,558,874
01/01/2016,electricity,created,262,"1,202"
02/01/2016,electricity,created,799,"1,572"
03/01/2016,electricity,created,656,"3,224"
04/01/2016,electricity,created,802,"2,924"
05/01/2016,electricity,created,528,781
06/01/2016,electricity,created,795,"7,383"
08/01/2016,electricity,created,320,791
09/01/2016,electricity,created,947,"4,183"
12/01/2016,electricity,created,879,"3,582"
13/01/2016,electricity,created,455,748
14/01/2016,electricity,created,965,"5,902"
15/01/2016,electricity,created,233,"1,961"
18/01/2016,electricity,created,787,"6,973"
19/01/2016,electricity,created,475,"1,217"
22/01/2016,electricity,created,102,828
25/01/2016,electricity,created,129,442
26/01/2016,electricity,created,778,"3,820"
27/01/2016,electricity,created,937,"6,566"
28/01/2016,electricity,created,986,"2,649"
29/01/2016,electricity,created,970,"8,165"
30/01/2016,electricity,created,799,"7,348"
01/02/2016,electricity,created,856,"3,076"
02/02/2016,electricity,created,933,"6,147"
03/02/2016,electricity,created,706,"4,485"
04/02/2016,electricity,created,196,905
05/02/2016,electricity,created,965,"1,646"
09/02/2016,electricity,created,923,"7,842"
11/02/2016,electricity,created,753,"2,813"
12/02/2016,electricity,created,556,"2,984"
15/02/2016,electricity,created,905,"5,146"
18/02/2016,electricity,created,558,"2,039"
10/03/2016,electricity,created,77,330
11/03/2016,electricity,created,455,738
16/03/2016,electricity,created,108,597
17/03/2016,electricity,created,417,697
18/03/2016,electricity,created,850,"1,364"
19/03/2016,electricity,created,850,"6,549"
21/03/2016,electricity,created,307,839
22/03/2016,electricity,created,513,"4,325"
24/03/2016,electricity,created,324,"1,707"
28/03/2016,electricity,created,313,888
01/04/2016,electricity,created,818,"4,356"
03/01/2016,electricity postpaid,created,589,"4,392"
04/01/2016,electricity postpaid,created,565,"3,953"
05/01/2016,electricity postpaid,created,184,986
09/01/2016,electricity postpaid,created,731,"3,951"
14/01/2016,electricity postpaid,created,113,722
24/03/2016,electricity postpaid,created,628,"8,563"
09/01/2016,games,created,934,"4,036"
11/01/2016,games,created,884,"11,041"
16/02/2016,games,created,366,"7,746"
21/02/2016,games,created,179,627
31/03/2016,games,created,274,"8,255"
01/01/2016,mobile,created,297,743
02/01/2016,mobile,created,313,990
03/01/2016,mobile,created,542,522
04/01/2016,mobile,created,942,"6,647"
05/01/2016,mobile,created,240,831
06/01/2016,mobile,created,714,"1,271"
07/01/2016,mobile,created,152,898
08/01/2016,mobile,created,965,"4,838"
09/01/2016,mobile,created,500,"7,217"
11/01/2016,mobile,created,163,551
12/01/2016,mobile,created,209,623
13/01/2016,mobile,created,770,"5,384"
14/01/2016,mobile,created,197,"3,197"
